order_id,user_id,order_timestamp,city,restaurant_name,cuisine,payment_method,quantity,order_value,discount,final_amount,delivery_rating
1,2663,2025-11-08 06:59:24,Mumbai,Tandoori House,Fast Food,COD,1,500,10,490,3
2,9846,2025-11-07 20:05:45,Pune,Curry Palace,North Indian,NET_BANKING,4,1600,0,1600,3
3,7480,2025-11-11 06:28:56,Hyderabad,Spice Hub,North Indian,UPI,3,1050,50,1000,4
4,2956,2025-10-31 13:20:02,Hyderabad,Pizza Planet,Indian,CARD,4,1600,0,1600,1
5,7204,2025-11-03 11:26:44,Pune,Burger Barn,Fast Food,UPI,3,1200,30,1170,5
6,8992,2025-11-11 05:03:40,Hyderabad,Burger Barn,Indian,COD,1,350,0,350,5
7,4117,2025-11-12 12:42:02,Mumbai,Tandoori House,Italian,NET_BANKING,4,800,0,800,2
8,4381,2025-11-18 19:53:44,Delhi,Spice Hub,Indian,NET_BANKING,5,1500,20,1480,2
9,6548,2025-11-15 06:27:53,Mumbai,Tandoori House,Italian,UPI,3,900,0,900,3
10,2265,2025-11-23 17:31:33,Pune,Burger Barn,Italian,NET_BANKING,1,200,10,190,5
11,4691,2025-11-25 03:41:36,Chennai,Spice Hub,Italian,COD,2,600,30,570,4
12,1703,2025-10-27 21:06:10,Mumbai,Burger Barn,North Indian,NET_BANKING,1,400,10,390,4
13,1338,2025-11-15 00:15:50,Delhi,Burger Barn,Fast Food,COD,2,500,20,480,2
14,8567,2025-11-11 02:32:19,Delhi,Tandoori House,North Indian,CARD,3,600,10,590,2
15,9892,2025-11-12 19:48:00,Hyderabad,Pizza Planet,North Indian,COD,1,200,30,170,3
16,5836,2025-10-29 17:19:51,Pune,Pizza Planet,Indian,COD,3,1500,10,1490,5
17,8945,2025-11-17 05:41:20,Chennai,Burger Barn,Chinese,NET_BANKING,1,250,20,230,4
18,5823,2025-11-16 01:47:39,Pune,Spice Hub,Indian,UPI,5,2000,20,1980,4
19,1099,2025-11-08 09:10:46,Mumbai,Noodle Nation,Italian,NET_BANKING,2,300,10,290,4
20,2870,2025-11-01 17:57:33,Bangalore,Tandoori House,Indian,NET_BANKING,3,900,30,870,4
21,2628,2025-11-22 19:08:23,Bangalore,Curry Palace,Italian,NET_BANKING,1,200,0,200,2
22,7359,2025-11-23 06:00:56,Delhi,Tandoori House,Italian,COD,5,2500,30,2470,1
23,9978,2025-10-30 19:45:38,Pune,Curry Palace,North Indian,NET_BANKING,4,800,10,790,4
24,3212,2025-11-24 20:45:27,Bangalore,Noodle Nation,Indian,UPI,3,450,20,430,1
25,6611,2025-10-31 17:25:53,Delhi,Curry Palace,Chinese,CARD,2,700,20,680,2
26,9330,2025-11-10 18:58:11,Hyderabad,Curry Palace,Indian,COD,1,200,0,200,4
27,4200,2025-11-06 15:38:59,Hyderabad,Noodle Nation,Fast Food,COD,2,400,10,390,2
28,8478,2025-11-25 04:56:33,Mumbai,Noodle Nation,Italian,NET_BANKING,3,1050,30,1020,3
29,9827,2025-11-23 19:51:28,Pune,Noodle Nation,North Indian,CARD,2,500,50,450,5
30,6100,2025-10-28 05:03:49,Chennai,Burger Barn,North Indian,CARD,2,800,20,780,2
31,9011,2025-11-04 22:52:15,Hyderabad,Tandoori House,North Indian,COD,3,1500,50,1450,4
32,4275,2025-11-13 13:23:59,Mumbai,Burger Barn,Fast Food,NET_BANKING,5,1500,10,1490,4
33,9797,2025-11-11 23:57:03,Mumbai,Pizza Planet,Italian,NET_BANKING,3,900,50,850,5
34,2010,2025-10-26 07:05:05,Pune,Tandoori House,North Indian,NET_BANKING,4,1600,10,1590,2
35,4091,2025-11-20 15:03:05,Pune,Curry Palace,Chinese,UPI,2,400,10,390,1
36,6634,2025-11-04 02:33:57,Hyderabad,Pizza Planet,Fast Food,UPI,3,450,50,400,2
37,2598,2025-10-31 05:49:25,Bangalore,Spice Hub,Fast Food,COD,4,1000,10,990,4
38,8081,2025-11-02 09:17:29,Mumbai,Curry Palace,Italian,CARD,1,150,0,150,2
39,5506,2025-11-07 10:34:44,Bangalore,Burger Barn,Chinese,CARD,4,1200,20,1180,4
40,5086,2025-11-08 07:51:27,Bangalore,Pizza Planet,Italian,COD,2,400,30,370,5
41,6815,2025-11-23 13:09:55,Pune,Spice Hub,Italian,NET_BANKING,2,500,0,500,4
42,4886,2025-11-22 20:01:50,Pune,Curry Palace,Fast Food,COD,5,750,20,730,5
43,9429,2025-11-24 19:00:42,Hyderabad,Curry Palace,Chinese,NET_BANKING,2,700,50,650,4
44,2939,2025-11-13 18:39:20,Mumbai,Noodle Nation,Chinese,CARD,3,600,0,600,3
45,6526,2025-11-18 01:08:23,Delhi,Burger Barn,Indian,UPI,3,750,50,700,2
46,5630,2025-11-02 22:43:12,Mumbai,Burger Barn,Italian,UPI,1,400,0,400,2
47,6371,2025-11-08 17:03:53,Mumbai,Spice Hub,Fast Food,CARD,2,300,50,250,4
48,1391,2025-11-21 12:00:58,Bangalore,Pizza Planet,Indian,CARD,5,1750,10,1740,2
49,2746,2025-11-05 08:52:32,Hyderabad,Tandoori House,Italian,CARD,1,200,20,180,4
50,5339,2025-11-17 17:24:56,Chennai,Spice Hub,Italian,NET_BANKING,2,500,30,470,3
51,5975,2025-10-31 18:17:55,Bangalore,Noodle Nation,North Indian,NET_BANKING,3,450,0,450,1
52,9901,2025-10-29 13:39:42,Hyderabad,Noodle Nation,Fast Food,COD,3,750,30,720,4
53,5406,2025-11-10 22:29:59,Delhi,Tandoori House,Italian,CARD,4,1200,20,1180,2
54,9173,2025-11-03 08:08:38,Bangalore,Burger Barn,Chinese,CARD,2,1000,10,990,3
55,5281,2025-10-31 01:21:12,Chennai,Noodle Nation,Fast Food,COD,3,1050,30,1020,1
56,1310,2025-11-20 20:09:51,Hyderabad,Curry Palace,North Indian,NET_BANKING,4,1400,20,1380,4
57,6092,2025-11-02 04:10:32,Pune,Pizza Planet,Fast Food,CARD,5,1500,20,1480,4
58,4550,2025-10-27 08:56:55,Pune,Pizza Planet,Fast Food,NET_BANKING,4,2000,50,1950,3
59,7000,2025-11-24 04:24:36,Pune,Spice Hub,Chinese,COD,4,600,50,550,4
60,4160,2025-11-07 06:44:40,Chennai,Pizza Planet,Indian,NET_BANKING,1,200,20,180,2
61,8250,2025-11-05 17:36:20,Chennai,Noodle Nation,North Indian,NET_BANKING,2,500,10,490,4
62,2814,2025-11-17 22:36:32,Mumbai,Spice Hub,Italian,COD,3,1500,50,1450,4
63,2210,2025-11-16 20:06:08,Delhi,Noodle Nation,Indian,CARD,5,1000,10,990,2
64,3671,2025-10-29 12:11:39,Delhi,Curry Palace,Chinese,UPI,3,900,0,900,1
65,4193,2025-11-18 15:14:24,Bangalore,Curry Palace,North Indian,NET_BANKING,3,450,20,430,4
66,8868,2025-11-04 16:27:18,Hyderabad,Spice Hub,Italian,COD,5,1000,30,970,5
67,7253,2025-11-16 07:37:01,Pune,Burger Barn,Indian,UPI,5,1000,50,950,3
